Lista_Datas,Lista_de_Rentabilidade
2019-02-04,-0.08471661067023163
2019-02-05,-0.09459183247146352
2019-02-06,-0.13059024788153029
2019-02-07,-0.1443670103567719
2019-02-08,-0.13328829716397528
2019-02-11,-0.1480247760655503
2019-02-12,-0.12040289309995544
2019-02-13,-0.12715735921324467
2019-02-14,-0.11066101758649516
2019-02-15,-0.1166044792347568
2019-02-18,-0.12408109514404395
2019-02-19,-0.11472288082349802
2019-02-20,-0.12618171559259206
2019-02-21,-0.11998936526559245
2019-02-22,-0.10877941917523637
2019-02-25,-0.11494190286078745
2019-02-26,-0.1136675928256492
2019-02-27,-0.11989976534124692
2019-02-28,-0.12723700359044088
2019-03-01,-0.13229442154239546
2019-03-07,-0.12212980790273875
2019-03-08,-0.10655933216089396
2019-03-11,-0.11308579550420494
2019-03-12,-0.11655424144275164
2019-03-13,-0.1150400318352518
2019-03-14,-0.12576891871232365
2019-03-15,-0.1291985387634984
2019-03-18,-0.12441001265431086
2019-03-19,-0.13000094043584898
2019-03-20,-0.14114397011155302
2019-03-21,-0.15993569959950016
2019-03-22,-0.17547899651067422
2019-03-25,-0.17566018398507588
2019-03-26,-0.17146698814892236
2019-03-27,-0.19243296732968995
2019-03-28,-0.16912449294415755
2019-03-29,-0.15453890125482128
2019-04-01,-0.15303763360977862
2019-04-02,-0.1638312302991366
2019-04-03,-0.17035397937759764
2019-04-04,-0.1566225572104406
2019-04-05,-0.14956918767123173
2019-04-08,-0.1587320970909747
2019-04-09,-0.16363710086227778
2019-04-10,-0.1641547793605681
2019-04-11,-0.17945217898505428
2019-04-12,-0.11006915018965636
2019-04-15,-0.10786295014278337
2019-04-16,-0.09010021130385826
2019-04-17,-0.09339254060457623
2019-04-18,-0.07306721555736051
2019-04-22,-0.07014258626445458
2019-04-23,-0.06147052300328515
2019-04-24,-0.07117214628632851
2019-04-25,-0.05996578143285381
2019-04-26,-0.06446303537455632
2019-04-29,-0.06623930925844879
2019-04-30,-0.06858127546205217
2019-05-02,-0.07941428338451773
2019-05-03,-0.08048344186877142
2019-05-06,-0.08743580047801958
2019-05-07,-0.09578541911695382
2019-05-08,-0.07296539093981236
2019-05-09,-0.0928381621312595
2019-05-10,-0.09376024061238852
2019-05-13,-0.11582789800431426
2019-05-14,-0.11700453802931299
2019-05-15,-0.1204552611795502
2019-05-16,-0.13612493843554452
2019-05-17,-0.14383532475320535
2019-05-20,-0.12230507506500501
2019-05-21,-0.09636808220625626
2019-05-22,-0.09653213297897234
2019-05-23,-0.10709926551117356
2019-05-24,-0.08320186499315785
2019-05-27,-0.07795153942663513
2019-05-28,-0.06122532210942577
2019-05-29,-0.06350788958950726
2019-05-30,-0.05761020602679179
2019-05-31,-0.07322246315574776
2019-06-03,-0.06499597225607978
2019-06-04,-0.07414777328050892
2019-06-05,-0.07927859839852414
2019-06-06,-0.05186211468022839
2019-06-07,-0.03544831449704222
2019-06-10,-0.038182694133425454
2019-06-11,-0.02896403596454622
2019-06-12,-0.044501480638410085
2019-06-13,-0.045475260040530034
2019-06-14,-0.044636693161569374
2019-06-17,-0.04979362553588596
2019-06-18,-0.02647180658887072
2019-06-19,-0.04001388890521407
2019-06-21,-0.012335171966569079
2019-06-24,-0.015976744030032575
2019-06-25,-0.043400296957105684
2019-06-26,-0.0481476394262732
2019-06-27,-0.032006675031103334
2019-06-28,-0.02786772984924624
2019-07-01,-0.0231849143650964
2019-07-02,-0.015369290784547185
2019-07-03,0.003947677993966892
2019-07-04,0.05747005178765361
2019-07-05,0.10232880653689946
2019-07-08,0.15370254753726775
2019-07-10,0.06890130411824735
2019-07-11,0.05940412390823835
2019-07-12,0.0418888656937424
2019-07-15,0.03436185209717292
2019-07-16,0.048081114158829985
2019-07-17,0.0377215166042566
2019-07-18,0.043420812037830325
2019-07-19,0.04343597982341518
2019-07-22,0.044501516760763415
2019-07-23,0.05068238938666192
2019-07-24,0.03643225482952928
2019-07-25,0.026554234467280446
2019-07-26,0.029667422458607318
2019-07-29,0.02588305995514295
2019-07-30,0.06582363134691492
2019-07-31,0.06730628238785141
2019-08-01,0.08700209480024612
2019-08-02,0.08270167273851836
2019-08-05,0.040669844477520416
2019-08-06,0.05549596818564506
2019-08-07,0.07139449094963801
2019-08-08,0.11385487721823885
2019-08-09,0.11528060507873605
2019-08-12,0.07331400930064014
2019-08-13,0.09534283589033477
2019-08-14,0.08934333938455552
2019-08-15,0.04957130756941619
2019-08-16,0.0357944406220696
2019-08-19,0.018909636146464903
2019-08-20,0.030579582744578063
2019-08-21,0.054381342323037714
2019-08-22,0.042754262877106035
2019-08-23,0.0216318206452586
2019-08-26,0.00698796532236079
2019-08-27,0.0129683324636789
2019-08-28,0.03252172841343892
2019-08-29,0.05062717316352194
2019-08-30,0.04973452941318324
2019-09-02,0.052016306751742285
2019-09-03,0.03987738970498822
2019-09-04,0.043710914028147085
2019-09-05,0.0530075564977579
2019-09-06,0.050241398829557804
2019-09-09,0.041043362355623884
2019-09-10,0.029810928497197464
2019-09-11,0.050429961172168136
2019-09-12,0.05829422180984034
2019-09-13,0.053393330831722034
2019-09-16,0.05545886695169155
2019-09-17,0.05834092991305573
2019-09-18,0.06281971803248654
2019-09-19,0.06259828702465065
2019-09-20,0.06989859056424064
2019-09-23,0.059520742001681226
2019-09-24,0.047283218959249806
2019-09-25,0.05457314292034732
2019-09-26,0.06396320159638891
2019-09-27,0.061741971799035074
2019-09-30,0.0608354886107072
2019-10-01,0.04874846945641398
2019-10-02,0.01852832667605853
2019-10-03,0.01648181978332519
